,Player,avg_score_utility,strike_rate_utility,sixes_utility,fours_score_utility,wickets_utility,total_wickets_utility,economy_utility,batting_utility,bowling_utility,player_type
56,Y Venugopal Rao,4.353365384615383,1.6936416184971101,0.0,0.16025641025641027,0.1153846153846154,0.11612903225806452,2.911621621621621,6.207263413368904,-344.28529709610353,Batsman
57,JA Morkel,2.7070895522388057,2.846910112359551,0.0,0.0,0.9770114942528736,1.6451612903225807,3.150232429441062,5.553999664598356,-340.34139217897524,Bowler
58,A Symonds,7.395833333333334,2.2355953905249684,0.06944444444444442,0.3518518518518519,0.5555555555555556,0.38709677419354843,3.210666666666666,10.052725020154599,-342.77002150537635,AllRounder
59,CL White,5.341666666666669,2.2726098191214477,0.0,0.22962962962962963,0.022222222222222227,0.01935483870967742,2.4743478260869565,7.843906115417745,-344.2261126694717,Batsman
60,MC Henriques,4.5175,2.3003901170351106,0.0,0.24666666666666667,0.6909090909090909,0.7354838709677419,3.107450980392157,7.064556783701778,-341.1992340865965,AllRounder
61,M Vohra,6.003048780487806,2.38,0.0,0.4390243902439022,0.0,0.0,0.0,8.822073170731707,-347.0,Batsman
62,KM Jadhav,3.124999999999999,2.5277777777777772,0.0,0.08771929824561402,0.0,0.0,0.0,5.740497076023391,-346.0,Batsman
63,HH Gibbs,6.479166666666667,1.2927120669056151,0.0,0.4351851851851853,0.0,0.0,0.0,8.207063918757468,-345.0,Batsman
64,EJG Morgan,4.366666666666665,1.8896551724137935,0.0,0.20000000000000004,0.0,0.0,0.0,6.456321839080459,-344.0,Batsman
65,MA Agarwal,3.6093749999999996,1.8815028901734103,0.0,0.23611111111111108,0.0,0.0,0.0,5.726989001284521,-343.0,Batsman
66,SS Iyer,6.70703125,2.160305343511451,0.0,0.4895833333333333,0.0,0.0,0.0,9.356919926844785,-342.0,Batsman
67,Harbhajan Singh,1.0,2.759729272419628,0.0,0.0,0.9477611940298508,2.458064516129032,3.374402810304449,3.759729272419628,-331.829657219305,Bowler
68,MS Bisla,4.9230769230769225,1.4138398914518304,0.0,0.4615384615384615,0.0,0.0,0.0,6.798455276067214,-341.0,Batsman
69,ST Jayasuriya,6.8500000000000005,2.701570680628272,0.15000000000000002,0.6,0.43333333333333335,0.2516129032258065,3.1723255813953486,10.301570680628274,-335.2140922730683,Batsman
70,STR Binny,2.379464285714285,2.187399030694671,0.0,0.017857142857142867,0.3684210526315789,0.40645161290322585,3.269783393501805,4.584720459266099,-334.93301591144507,Bowler
71,GC Smith,6.806034482758619,1.3473227206946448,0.0,0.7471264367816092,0.0,0.0,0.0,8.900483640234874,-340.0,Batsman
72,Q de Kock,7.721153846153848,2.4134275618374574,0.0,0.8205128205128206,0.0,0.0,0.0,10.955094228504127,-339.0,Batsman
73,KL Rahul,6.312500000000002,2.1233108108108096,0.0,0.3444444444444444,0.0,0.0,0.0,8.780255255255256,-338.0,Batsman
74,AD Mathews,3.8719512195121957,2.043405676126878,0.0,0.024390243902439046,0.6136363636363636,0.5225806451612903,3.120334572490706,5.939747139541512,-331.61517262806746,Bowler
